# chrom	start	end	strand	circRNA ID	genomic length	spliced seq length	samples	repeats	annotation	best transcript	gene symbol	circRNA study
chr16	1675973	1716601	+	hsa_circ_0037320	40628	2690	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_020825	CRAMP1L	Salzman2013
chr10	25010765	25011208	-	hsa_circ_0017992	443	443	H1hesc, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_020824	ARHGAP21	Salzman2013
chr5	179125427	179133332	+	hsa_circ_0075290	7905	924	Ag04450	NA	ALT_ACCEPTOR, CDS, coding, OVCODE, OVEXON, upstream_start, UTR5	NM_001746	CANX	Salzman2013
chr5	170345716	170455993	+	hsa_circ_0074987	110277	61368	Mcf7	NA	ALT_DONOR, CDS, coding, INTERNAL, intronic, OVCODE, OVERLAPTX, OVEXON	NM_022897	RANBP17	Salzman2013
chr1	31342312	31351587	-	hsa_circ_0011212	9275	4936	Sknshra	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_014654	SDC3	Salzman2013
chr5	43294792	43299077	-	hsa_circ_0072390	4285	1086	Hepg2	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_001098272	HMGCS1	Salzman2013
chr13	95686858	95735544	-	hsa_circ_0030569	48686	1335	K562, Ag04450, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_005845	ABCC4	Salzman2013
chr12	111157612	111168564	-	hsa_circ_0028224	10952	2053	K562	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_002710	PPP1CC	Salzman2013
chr4	99325627	99342545	+	hsa_circ_0070482	16918	803	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001100426	RAP1GDS1	Salzman2013
chr15	86028940	86182680	+	hsa_circ_0036636	153740	4248	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_006738	AKAP13	Salzman2013
chr7	2557496	2568063	+	hsa_circ_0079187	10567	2058	Mcf7	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3, UTR5	NM_002304	LFNG	Salzman2013
chr8	21826993	21827821	+	hsa_circ_0083518	828	261	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015024	XPO7	Salzman2013
chr3	46005827	46026514	-	hsa_circ_0065110	20687	3381	H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_024513	FYCO1	Salzman2013
chr1	236201403	236212289	-	hsa_circ_0017112	10886	1060	Bj, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002508	NID1	Salzman2013
chr9	123168424	123182238	-	hsa_circ_0088279	13814	1824	Gm12878	NA	ALT_DONOR, CDS, coding, INTERNAL, intronic, OVCODE, OVERLAPTX, OVEXON	NM_018249	CDK5RAP2	Salzman2013
chr6	148761319	148852797	+	hsa_circ_0078191	91478	1279	Hsmm	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_015278	SASH1	Salzman2013
chr3	156877193	156878482	-	hsa_circ_0067800	1289	977	Helas3	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_020307	CCNL1	Salzman2013
chr15	39881402	39885428	+	hsa_circ_0034506	4026	1222	Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_003246	THBS1	Salzman2013
chr10	69785302	69792626	-	hsa_circ_0018488	7324	223	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_022079	HERC4	Salzman2013
chr1	209800727	209825820	-	hsa_circ_0016321	25093	1629	Nhek	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR5	NM_000228	LAMB3	Salzman2013
chr9	131719230	131745829	+	hsa_circ_0088934	26599	1715	Hepg2, Helas3, H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_015354	NUP188	Salzman2013
chr18	77890985	77898228	+	hsa_circ_0048029	7243	4824	H1hesc	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_014913	ADNP2	Salzman2013
chr9	84198597	84199220	-	hsa_circ_0087307	623	623	Hsmm, Mcf7	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_005077	TLE1	Salzman2013
chr1	118003110	118035884	+	hsa_circ_0013745	32774	334	K562, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006699	MAN1A2	Salzman2013
chr3	47742767	47787483	-	hsa_circ_0065291	44716	850	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_003074	SMARCC1	Salzman2013
chr22	21138259	21142008	+	hsa_circ_0062384	3749	1265	Hepg2	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_000185	SERPIND1	Salzman2013
chr17	62498279	62498667	-	hsa_circ_0045293	388	173	K562, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_004396	DDX5	Salzman2013
chr9	112029752	112042201	-	hsa_circ_0087945	12449	227	H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_019114	EPB41L4B	Salzman2013
chr15	91491371	91497323	+	hsa_circ_0036905	5952	1617	Nhek, Huvec, Helas3, H1hesc, Gm12878, Ag04450	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_001039675	UNC45A	Salzman2013
chr1	178423581	178427679	+	hsa_circ_0015396	4098	1264	Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_004841	RASAL2	Salzman2013
chr3	50145502	50154604	+	hsa_circ_0065814	9102	1151	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_005778	RBM5	Salzman2013
chr20	42679945	42683166	+	hsa_circ_0008117	3221	468	Hs68_RNase, Hs68_control, Ag04450	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_032883	TOX2	Jeck2013, Salzman2013
chr17	78865519	78921151	+	hsa_circ_0046079	55632	1282	Hepg2	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_020761	RPTOR	Salzman2013
chr3	9711115	9712854	+	hsa_circ_0001265	1739	184	cd_19, K562, H1hesc, Gm12878, Bj, Ag04450, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL	NM_022485	MTMR14	Memczak2013, Salzman2013
chr5	43649248	43675772	+	hsa_circ_0072419	26524	1350	Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_012343	NNT	Salzman2013
chr1	40030142	40035361	-	hsa_circ_0011855	5219	762	Hepg2	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_003819	PABPC4	Salzman2013
chr1	46650456	46651634	+	hsa_circ_0012307	1178	816	Nhek	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_005727	TSPAN1	Salzman2013
chr20	43545396	43545512	+	hsa_circ_0060514	116	116	Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001124756	PABPC1L	Salzman2013
chrX	154014478	154020560	-	hsa_circ_0092153	6082	575	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001166462	MPP1	Salzman2013
chr20	47835831	47845425	+	hsa_circ_0060780	9594	1034	H1hesc	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR5	NM_017895	DDX27	Salzman2013
chr11	122929339	122929538	-	hsa_circ_0024712	199	199	Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006597	HSPA8	Salzman2013
chr3	47890409	47891686	+	hsa_circ_0065328	1277	892	Bj	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_014966	DHX30	Salzman2013
chr1	12627938	12676788	-	hsa_circ_0010017	48850	37238	K562, Helas3, A549, Sknshra	NA	ALT_ACCEPTOR, CDS, coding, intronic, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_004753	DHRS3	Salzman2013
chr17	8157483	8168786	+	hsa_circ_0042013	11303	2319	Hepg2	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_012393	PFAS	Salzman2013
chr12	57884320	57894305	+	hsa_circ_0027260	9985	630	Huvec	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_004990	MARS	Salzman2013
chr3	15123873	15137795	-	hsa_circ_0064468	13922	1008	Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_022340	ZFYVE20	Salzman2013
chr14	50929382	50949134	-	hsa_circ_0002949	19752	614	Hs68_RNase, Hs68_control	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_198794	MAP4K5	Jeck2013
chr5	94852619	94861377	-	hsa_circ_0073426	8758	1302	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_014639	TTC37	Salzman2013
chr19	35757261	35758867	+	hsa_circ_0050592	1606	1133	Gm12878	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_205834	LSR	Salzman2013
chr11	17143734	17167489	-	hsa_circ_0021393	23755	1097	Hepg2	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002645	PIK3C2A	Salzman2013
chr17	982569	1003975	-	hsa_circ_0041189	21406	454	Gm12878, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001159746	ABR	Salzman2013
chr12	6645849	6646556	+	hsa_circ_0025190	707	396	Helas3, H1hesc, Nhlf, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_002046	GAPDH	Salzman2013
chr2	210705265	210824431	+	hsa_circ_0057996	119166	4351	Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_032504	UNC80	Salzman2013
chr11	73748522	73844602	-	hsa_circ_0023534	96080	4926	Hepg2, Helas3, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015531	C2CD3	Salzman2013
chr7	2406633	2420377	+	hsa_circ_0079174	13744	1642	Hepg2	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_001037283	EIF3B	Salzman2013
chr19	11168930	11170863	+	hsa_circ_0005412	1933	487	Hs68_RNase, Hs68_control	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001128844	SMARCA4	Jeck2013
chr3	4808213	4810448	+	hsa_circ_0001262	2235	435	cd_19, Gm12878	None	ANNOTATED, CDS, coding, INTERNAL	NM_001168272	ITPR1	Memczak2013, Salzman2013
chr7_gl000195_random	42937	44923	-	hsa_circ_0083243	1986	1986	K562, A549	LTR	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_001242480	LOC389831	Salzman2013
chr6	158922709	158925210	+	hsa_circ_0002163	2501	2501	Hs68_RNase, Hs68_control	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_020245	TULP4	Jeck2013
chr2	69575302	69577315	-	hsa_circ_0055054	2013	270	K562, Huvec, Gm12878, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001244710	GFPT1	Salzman2013
chr7	116771938	116778586	+	hsa_circ_0082014	6648	398	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_021908	ST7	Salzman2013
chrX	153595764	153595912	-	hsa_circ_0092028	148	148	Bj, Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001110556	FLNA	Salzman2013
chr1	93159358	93159456	-	hsa_circ_0013170	98	98	H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_005665	EVI5	Salzman2013
chr10	33211184	33218972	-	hsa_circ_0018155	7788	975	Nhek, K562, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002211	ITGB1	Salzman2013
chrX	154292308	154294064	-	hsa_circ_0092158	1756	1589	Hepg2	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_001018025	MTCP1	Salzman2013
chr1	201103899	201123568	-	hsa_circ_0015872	19669	1960	Nhek, K562, A549, Sknshra	NA	ALT_ACCEPTOR, CDS, coding, intronic, OVCODE, OVEXON, UTR3, UTR5	NM_016456	TMEM9	Salzman2013
chr21	37711071	37717005	+	hsa_circ_0061620	5934	425	Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015358	MORC3	Salzman2013
chr15	89174332	89175512	+	hsa_circ_0036673	1180	1180	H1hesc	NA	ALT_ACCEPTOR, coding, OVEXON, UTR3	NM_022767	AEN	Salzman2013
chr6	32627240	32630025	-	hsa_circ_0075952	2785	1203	Nhek	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_001243961	HLA-DQB1	Salzman2013
chr18	7949178	7955412	+	hsa_circ_0004618	6234	469	Hs68_RNase, Hs68_control, Nhek	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001105244	PTPRM	Jeck2013, Salzman2013
chr2	65237730	65245813	+	hsa_circ_0054975	8083	731	Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_003038	SLC1A4	Salzman2013
chrX	152770695	152775004	+	hsa_circ_0091742	4309	1970	Huvec	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_001711	BGN	Salzman2013
chr16	2147148	2150567	-	hsa_circ_0037443	3419	1102	Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001009944	PKD1	Salzman2013
chr7	34989408	35013217	-	hsa_circ_0079838	23809	600	Nhek, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015283	DPY19L1	Salzman2013
chr5	68809774	68830666	+	hsa_circ_0072793	20892	308	A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_002538	OCLN	Salzman2013
chr13	98606372	98670958	+	hsa_circ_0030658	64586	3028	H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_002271	IPO5	Salzman2013
chr1	17303391	17307173	-	hsa_circ_0010171	3782	287	Huvec, Ag04450	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_002403	MFAP2	Salzman2013
chr12	133219091	133238270	-	hsa_circ_0029513	19179	2246	Hepg2	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_006231	POLE	Salzman2013
chr2	26587169	26609404	+	hsa_circ_0053087	22235	1038	Nhek, H1hesc, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_033505	EPT1	Salzman2013
chr1	207242768	207251162	+	hsa_circ_0016288	8394	5977	K562	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_006212	PFKFB2	Salzman2013
chr9	132614818	132637234	+	hsa_circ_0089063	22416	2064	H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_006676	USP20	Salzman2013
chr11	108559662	108594189	+	hsa_circ_0024247	34527	1117	K562, Helas3, Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_004398	DDX10	Salzman2013
chr11	76637600	76709865	+	hsa_circ_0023665	72265	394	Ag04450, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_018367	ACER3	Salzman2013
chr2	61404552	61408540	+	hsa_circ_0054715	3988	1840	K562	Simple_repeat	ALT_ACCEPTOR, coding, OVEXON, upstream_start, UTR5	NM_152392	AHSA2	Salzman2013
chr16	69959332	69975643	+	hsa_circ_0040103	16311	3234	K562	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_007014	WWP2	Salzman2013
chr17	46000327	46006323	+	hsa_circ_0044330	5996	1916	K562	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_003110	SP2	Salzman2013
chr17	40690356	40696466	+	hsa_circ_0043841	6110	1911	K562, Hsmm, Bj	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_000263	NAGLU	Salzman2013
chr2	96903642	96906426	+	hsa_circ_0003635	2784	2784	Hs68_RNase, Hs68_control	LTR	ALT_ACCEPTOR, CDS, coding, OVCODE, OVEXON, upstream_start, UTR5	NM_001037228	LOC285033	Jeck2013
chr21	46269499	46281186	-	hsa_circ_0061981	11687	2371	Nhek, K562, Sknshra	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_004339	PTTG1IP	Salzman2013
chr20	43880878	43882374	-	hsa_circ_0060535	1496	491	Nhek	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_003064	SLPI	Salzman2013
chr10	97892342	97911323	+	hsa_circ_0019279	18981	329	Gm12878	NA	ANNOTATED, coding, INTERNAL, OVEXON, UTR5	NM_014803	ZNF518A	Salzman2013
chr17	44383594	44383675	+	hsa_circ_0044198	81	81	K562, H1hesc	NA	INTERGENIC	None	None	Salzman2013
chr16	30311189	30312679	-	hsa_circ_0039025	1490	196	K562	NA	ANNOTATED, INTERNAL, ncRNA, OVEXON	NR_002453	LOC595101	Salzman2013
chr7	102106263	102110329	+	hsa_circ_0081659	4066	1362	Hepg2, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_152892	LRWD1	Salzman2013
chr19	34869838	34870467	+	hsa_circ_0050494	629	117	Hepg2	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001184722	GPI	Salzman2013
chr18	12351083	12351209	-	hsa_circ_0046959	126	126	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006796	AFG3L2	Salzman2013
chr3	133489351	133496082	+	hsa_circ_0067418	6731	440	Hepg2	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001063	TF	Salzman2013
chr2	173433468	173457776	+	hsa_circ_0057104	24308	401	Hsmm, Helas3, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002610	PDK1	Salzman2013
chr7	105192016	105205904	+	hsa_circ_0081862	13888	734	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_021930	RINT1	Salzman2013
chr8	42294506	42320608	-	hsa_circ_0084128	26102	1093	Hepg2	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006749	SLC20A2	Salzman2013
chr7	44244166	44253893	+	hsa_circ_0080020	9727	2505	Nhek, K562, Huvec, H1hesc, Gm12878, Bj, Ag04450	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_006555	YKT6	Salzman2013
chr17	45608443	45623359	+	hsa_circ_0044248	14916	563	Nhek, K562, Gm12878	Low_complexity	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR5	NM_006310	NPEPPS	Salzman2013
chr9	87285291	87356842	+	hsa_circ_0087372	71551	1567	Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_001018065	NTRK2	Salzman2013
chr11	9165643	9173989	-	hsa_circ_0021128	8346	868	Huvec, H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015213	DENND5A	Salzman2013
chr12	66641474	66641834	+	hsa_circ_0002759	360	360	Hs68_RNase, Hs68_control	None	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_007199	IRAK3	Jeck2013
chr12	120600650	120611630	-	hsa_circ_0028817	10980	971	H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006836	GCN1L1	Salzman2013
chr11	71145456	71153399	-	hsa_circ_0023365	7943	2071	Hmec, Nhek	LTR	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_001360	DHCR7	Salzman2013
chr3	146245732	146251337	-	hsa_circ_0067687	5605	967	Ag04450	NA	ALT_DONOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON	NM_021105	PLSCR1	Salzman2013
chr4	147204343	147215247	-	hsa_circ_0071091	10904	292	Gm12878, Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001029998	SLC10A7	Salzman2013
chr17	37673692	37681138	+	hsa_circ_0043452	7446	461	Huvec	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_016507	CDK12	Salzman2013
chr6	79668191	79698066	-	hsa_circ_0077119	29875	1463	Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_017934	PHIP	Salzman2013
chr18	59711457	59774318	-	hsa_circ_0047839	62861	2853	K562, H1hesc	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_176787	PIGN	Salzman2013
chr9	33944362	33953472	-	hsa_circ_0086713	9110	679	Ag04450, Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_018449	UBAP2	Salzman2013
chr9	75780031	75782471	+	hsa_circ_0087214	2440	249	K562, Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000700	ANXA1	Salzman2013
chr7_gl000195_random	140413	141360	+	hsa_circ_0083252	947	758	K562, Gm12878	NA	ANNOTATED, ncRNA, OVEXON	TCONS_00030032	TCONS_00030032	Salzman2013
chr14	76620696	76647192	+	hsa_circ_0032736	26496	1203	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_017926	C14orf118	Salzman2013
chr9	118997417	118997916	+	hsa_circ_0088227	499	499	Helas3, Bj, Ag04450, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002581	PAPPA	Salzman2013
chr9	114840817	114904779	-	hsa_circ_0088039	63962	1227	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_022486	SUSD1	Salzman2013
chr22	47022647	47061603	+	hsa_circ_0063827	38956	858	K562	NA	ALT_ACCEPTOR, CDS, coding, OVCODE, OVEXON, upstream_start, UTR5	NM_015124	GRAMD4	Salzman2013
chr1	12066594	12073572	+	hsa_circ_0009931	6978	2508	K562	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_014874	MFN2	Salzman2013
chr17	58260525	58284493	-	hsa_circ_0044920	23968	1198	Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_032582	USP32	Salzman2013
chr10	860681	909823	-	hsa_circ_0017399	49142	1640	Nhek, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015155	LARP4B	Salzman2013
chr10	135211938	135212730	+	hsa_circ_0020586	792	138	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_138384	MTG1	Salzman2013
chr2	25037244	25039686	+	hsa_circ_0053001	2442	550	Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001199803	CENPO	Salzman2013
chr17	4015902	4046253	-	hsa_circ_0041518	30351	1130	A549	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_015113	ZZEF1	Salzman2013
chr15	40705189	40708561	+	hsa_circ_0034586	3372	451	Nhek, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002225	IVD	Salzman2013
chr16	3823751	3901010	-	hsa_circ_0037670	77259	2378	K562, H1hesc, Gm12878, Bj, A549, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_004380	CREBBP	Salzman2013
chr2	71213067	71221834	-	hsa_circ_0055140	8767	3200	Nhek	LINE	ALT_ACCEPTOR, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_144582	TEX261	Salzman2013
chr3	16399438	16419609	-	hsa_circ_0064535	20171	705	Gm12878, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_015150	RFTN1	Salzman2013
chr2	8910799	8938430	-	hsa_circ_0052494	27631	2111	Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_020738	KIDINS220	Salzman2013
chr15	42804030	42807552	+	hsa_circ_0034822	3522	280	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_003825	SNAP23	Salzman2013
chr5	94114814	94134837	-	hsa_circ_0073377	20023	174	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_024717	MCTP1	Salzman2013
chr15	22990056	23000243	+	hsa_circ_0034084	10187	921	Huvec	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014608	CYFIP1	Salzman2013
chr2	191839555	191839658	-	hsa_circ_0057530	103	103	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_007315	STAT1	Salzman2013
chr2	27424533	27434401	-	hsa_circ_0053157	9868	2103	A549	NA	ANNOTATED, INTERNAL, ncRNA, OVCODE, OVEXON	NR_028323	SLC5A6	Salzman2013
chr11	883147	900980	-	hsa_circ_0020737	17833	565	Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001142675	CHID1	Salzman2013
chr20	35838449	35870025	+	hsa_circ_0060280	31576	1384	Nhek	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_001135771	RPN2	Salzman2013
chr14	53241910	53250203	-	hsa_circ_0031962	8293	3519	K562	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_198066	GNPNAT1	Salzman2013
chr1	213302869	213349835	+	hsa_circ_0007772	46966	572	Hs68_RNase, Hs68_control, K562, Hepg2, Helas3, H1hesc, Ag04450, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_012424	RPS6KC1	Jeck2013, Salzman2013
chr19	11217240	11221447	+	hsa_circ_0049383	4207	366	Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000527	LDLR	Salzman2013
chr7	138203933	138252399	+	hsa_circ_0082581	48466	1073	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015905	TRIM24	Salzman2013
